Date		Price	Open	High	Low	Vol.	Change%	
20-Oct-16	821.63	827.56	828.47	820.55	1.39M	-0.66%	
21-Oct-16	824.06	820	824.29	818.31	1.62M	0.30%	
24-Oct-16	835.74	830.09	837.94	829.04	1.45M	1.42%	
25-Oct-16	828.55	838.5	838.5	825.3	1.89M	-0.86%	
26-Oct-16	822.1	827.12	827.71	816.35	1.79M	-0.78%	
27-Oct-16	817.35	823.01	826.58	814.61	2.97M	-0.58%	
28-Oct-16	819.56	829.94	839	817	4.35M	0.27%	
31-Oct-16	809.9	822.43	822.63	808	2.24M	-1.18%	
1-Nov-16	805.48	810.87	813.96	798.26	2.36M	-0.55%	
2-Nov-16	788.42	806.76	806.76	785	2.35M	-2.12%	
3-Nov-16	782.19	784.5	790	778.63	2.18M	-0.79%	
4-Nov-16	781.1	771.3	788.48	771	1.97M	-0.14%	
7-Nov-16	802.03	794.95	805	792.9	1.99M	2.68%	
8-Nov-16	811.98	802.03	816.04	799.62	1.77M	1.24%	
9-Nov-16	805.59	801.83	811.71	792.03	3.10M	-0.79%	
10-Nov-16	780.29	810	810.06	768.23	5.91M	-3.14%	
11-Nov-16	771.75	776.81	777.29	765.54	3.59M	-1.09%	
14-Nov-16	753.22	771.76	771.78	743.59	3.69M	-2.40%	
15-Nov-16	775.16	765.47	780.24	765.22	2.94M	2.91%	
16-Nov-16	779.98	770.42	783.5	766.33	1.80M	0.62%	
17-Nov-16	786.16	782.5	788.9	779.85	1.53M	0.79%	
18-Nov-16	775.97	787.17	791.29	775.35	1.81M	-1.30%	
21-Nov-16	784.8	778.1	786.55	776.3	1.63M	1.14%	
22-Nov-16	785	788.99	793.77	783.74	1.39M	0.03%	
23-Nov-16	779	789.52	789.52	772.65	1.31M	-0.76%	
25-Nov-16	780.23	782.61	782.9	778.19	613.55K	0.16%	
28-Nov-16	785.79	778.35	799.74	778.1	2.58M	0.71%	
29-Nov-16	789.44	788.38	796.44	785.34	1.56M	0.46%	
30-Nov-16	775.88	789.1	791.51	773.14	2.28M	-1.72%	
1-Dec-16	764.33	778.55	778.6	753.36	2.87M	-1.49%	
2-Dec-16	764.46	761.9	770.5	759	1.72M	0.02%	
5-Dec-16	778.22	770	780	766.97	1.69M	1.80%	
6-Dec-16	776.18	780.19	785.28	773.32	1.73M	-0.26%	
7-Dec-16	791.47	779.95	792	773.53	2.03M	1.97%	
8-Dec-16	795.17	792.95	799	787.9	1.61M	0.47%	
9-Dec-16	809.45	799.3	809.95	798.05	1.90M	1.80%	
12-Dec-16	807.9	804.82	811.35	804.53	1.63M	-0.19%	
13-Dec-16	815.34	812.39	824.3	811.94	2.13M	0.92%	
14-Dec-16	817.89	815.92	824.26	812.78	1.80M	0.31%	
15-Dec-16	815.65	817.36	823	812	1.77M	-0.27%	
16-Dec-16	809.84	818.31	819.2	808.12	2.60M	-0.71%	
19-Dec-16	812.5	809.28	816.22	804.5	1.26M	0.33%	
20-Dec-16	815.2	813.37	816.49	811	1.27M	0.33%	
21-Dec-16	812.2	815.72	815.72	805.1	1.46M	-0.37%	
22-Dec-16	809.68	809.1	811.07	806.03	1.13M	-0.31%	
23-Dec-16	807.8	808.01	810.97	805.11	765.54K	-0.23%	
27-Dec-16	809.93	808.68	816	805.8	975.96K	0.26%	
28-Dec-16	804.57	813.33	813.33	802.44	1.21M	-0.66%	
29-Dec-16	802.88	802.33	805.75	798.14	1.06M	-0.21%	
30-Dec-16	792.45	803.21	803.28	789.62	1.74M	-1.30%	
3-Jan-17	808.01	800.62	811.43	796.89	1.96M	1.96%	
4-Jan-17	807.77	809.89	813.43	804.11	1.52M	-0.03%	
5-Jan-17	813.02	807.5	813.74	805.92	1.34M	0.65%	
