Date	        Price	Open	High	Low	Vol.	Change%
26-Jan-17	915.12	893.35	917.64	893.35	9.82K	2.44%	
27-Jan-17	916.7	915.12	922.16	905.05	10.14K	0.17%	
28-Jan-17	919.43	916.7	923.98	915.01	3.61K	0.30%	
29-Jan-17	912.56	919.43	922.99	910.72	2.70K	-0.75%	
30-Jan-17	917.36	912.55	920.79	910.01	3.45K	0.53%	
31-Jan-17	966.19	917.36	969.38	916.75	19.65K	5.32%	
1-Feb-17	983.73	966.19	984.99	960.1	11.35K	1.82%	
2-Feb-17	"1,005.70"	983.73	"1,010.50"	970.11	17.79K	2.23%	
3-Feb-17	"1,015.70"	"1,007.00"	"1,020.50"	988.34	18.97K	0.99%	
4-Feb-17	"1,031.10"	"1,016.80"	"1,040.00"	"1,001.60"	17.19K	1.52%	
5-Feb-17	"1,006.60"	"1,031.10"	"1,033.00"	996.35	16.19K	-2.38%	
6-Feb-17	"1,022.60"	"1,006.60"	"1,026.20"	"1,006.00"	8.90K	1.59%	
7-Feb-17	"1,052.10"	"1,022.60"	"1,056.30"	"1,021.70"	15.19K	2.88%	
8-Feb-17	"1,048.80"	"1,052.50"	"1,068.00"	"1,013.20"	23.09K	-0.31%	
9-Feb-17	984.97	"1,049.00"	"1,078.00"	936.41	59.96K	-6.09%	
10-Feb-17	992	984.97	"1,002.00"	949.39	24.48K	0.71%	
11-Feb-17	"1,000.30"	992.1	"1,009.00"	984.19	9.32K	0.84%	
12-Feb-17	996.01	"1,000.10"	"1,005.40"	992.33	4.33K	-0.43%	
13-Feb-17	996.5	996	"1,004.50"	975.9	9.05K	0.05%	
14-Feb-17	"1,013.70"	996.52	"1,019.00"	988.88	12.20K	1.73%	
15-Feb-17	"1,013.80"	"1,013.30"	"1,017.30"	"1,002.40"	5.61K	0.01%	
16-Feb-17	"1,038.40"	"1,013.90"	"1,045.70"	"1,013.90"	11.26K	2.43%	
17-Feb-17	"1,056.20"	"1,038.50"	"1,065.80"	"1,034.10"	16.17K	1.71%	
18-Feb-17	"1,059.80"	"1,056.20"	"1,071.10"	"1,053.10"	7.15K	0.34%	
19-Feb-17	"1,056.20"	"1,059.80"	"1,066.00"	"1,045.00"	6.44K	-0.34%	
20-Feb-17	"1,091.20"	"1,056.20"	"1,100.30"	"1,044.10"	13.29K	3.31%	
21-Feb-17	"1,129.60"	"1,091.30"	"1,134.00"	"1,085.00"	24.50K	3.52%	
22-Feb-17	"1,125.30"	"1,129.60"	"1,140.00"	"1,106.40"	14.33K	-0.38%	
23-Feb-17	"1,190.90"	"1,125.50"	"1,196.90"	"1,120.40"	26.12K	5.83%	
24-Feb-17	"1,185.10"	"1,189.90"	"1,222.20"	"1,111.10"	48.21K	-0.49%	
25-Feb-17	"1,153.00"	"1,185.40"	"1,189.90"	"1,131.50"	16.29K	-2.71%	
26-Feb-17	"1,178.30"	"1,153.00"	"1,185.90"	"1,130.90"	11.08K	2.19%	
27-Feb-17	"1,195.50"	"1,178.30"	"1,202.60"	"1,171.00"	11.76K	1.46%	
28-Feb-17	"1,189.10"	"1,196.00"	"1,216.00"	"1,177.80"	17.47K	-0.54%	
1-Mar-17	"1,232.80"	"1,189.10"	"1,233.50"	"1,186.00"	22.49K	3.68%	
2-Mar-17	"1,262.30"	"1,232.90"	"1,283.10"	"1,213.00"	30.55K	2.39%	
3-Mar-17	"1,288.20"	"1,257.60"	"1,294.70"	"1,256.60"	22.29K	2.05%	
4-Mar-17	"1,267.80"	"1,289.10"	"1,291.80"	"1,240.10"	15.55K	-1.58%	
